Epoch,train acc,val acc,quan acc
1,0.36194,0.4873,N/A
2,0.51568,0.5832,N/A
3,0.57612,0.6185,N/A
4,0.61718,0.6554,N/A
5,0.6485,0.6707,N/A
6,0.67416,0.6938,N/A
7,0.68736,0.7095,N/A
8,0.7065,0.7126,N/A
9,0.71772,0.7452,N/A
10,0.7268,0.747,N/A
11,0.73522,0.7604,N/A
12,0.7436,0.7496,N/A
13,0.74878,0.7528,N/A
14,0.75312,0.7699,N/A
15,0.7575,0.7613,N/A
16,0.7653,0.7795,N/A
17,0.77034,0.7711,N/A
18,0.77544,0.7765,N/A
19,0.77762,0.7779,N/A
20,0.77768,0.7806,N/A
21,0.78452,0.7811,N/A
22,0.7877,0.7815,N/A
23,0.78648,0.7903,N/A
24,0.79544,0.7829,N/A
25,0.79554,0.7798,N/A
26,0.79622,0.7884,N/A
27,0.80106,0.7897,N/A
28,0.7995,0.7918,N/A
29,0.80372,0.7954,N/A
30,0.80466,0.7789,N/A
31,0.80534,0.7943,N/A
32,0.80928,0.7971,N/A
33,0.8082,0.7985,N/A
34,0.81066,0.7971,N/A
35,0.8129,0.7972,N/A
36,0.81236,0.7987,N/A
37,0.81638,0.7999,N/A
38,0.81642,0.8019,N/A
39,0.81798,0.8037,N/A
40,0.81998,0.7981,N/A
41,0.82052,0.8022,N/A
42,0.8219,0.8058,N/A
43,0.82286,0.7968,N/A
44,0.82328,0.8056,N/A
45,0.82426,0.8033,N/A
46,0.82652,0.8015,N/A
47,0.8243,0.8048,N/A
48,0.82816,0.8035,N/A
49,0.82868,0.8047,N/A
50,0.8279,0.8,N/A
51,0.82968,0.7987,N/A
52,0.82828,0.8082,N/A
53,0.83164,0.8072,N/A
54,0.83394,0.8019,N/A
55,0.83328,0.8072,N/A
56,0.83218,0.8065,N/A
57,0.83334,0.8103,N/A
58,0.83452,0.8106,N/A
59,0.8342,0.8045,N/A
60,0.83578,0.8073,N/A
